ï»¿Date,Home,Away,HG,AG,H_Max,D_Max,A_Max,H_Avg,D_Avg,A_Avg,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG
01/04/2026,Iraq,Bolivia,2,1,3.25,3.1,2.5,3.08,2.89,2.41,6,15,3,6,20,12,2,16,3,2,0,0,0.74,0.61
31/03/2026,Bosnia & Herzegovina,Italy,1,1,8,4.35,1.53,6.86,4.19,1.47,30,9,11,3,18,9,10,4,3,2,0,1,1.91,0.86
31/03/2026,Czech Republic,Denmark,1,1,3.9,3.4,2.1,3.69,3.34,2.03,9,22,4,8,20,11,7,4,1,2,0,0,1.23,1.35
31/03/2026,D.R. Congo,Jamaica,0,0,1.65,3.4,7,1.6,3.26,6.18,19,6,3,1,16,13,5,7,0,2,0,0,1.45,0.3
31/03/2026,Kosovo,Turkey,0,1,3.9,3.6,2,3.76,3.46,1.95,11,12,2,3,12,10,3,2,3,5,0,0,0.88,1.77
31/03/2026,Sweden,Poland,3,2,2.12,3.4,3.7,2.08,3.33,3.51,9,15,5,7,15,15,2,9,2,3,0,0,1.65,1.53
27/03/2026,New Caledonia,Jamaica,0,1,41,15,1.06,27.4,11.83,1.04,5,13,1,4,12,16,2,5,0,0,0,0,0.14,0.99
26/03/2026,Bolivia,Suriname,2,1,2.55,3.15,3.3,2.41,2.96,3,18,14,6,4,13,17,5,5,3,4,0,0,1.98,2.38
26/03/2026,Czech Republic,Ireland,2,2,2,3.5,4.2,1.96,3.35,3.92,12,10,3,3,25,14,6,9,1,2,0,0,1.45,1.28
26/03/2026,Denmark,North Macedonia,4,0,1.2,7,17,1.19,6.63,14.92,20,3,9,0,10,8,11,2,0,2,0,0,2.85,0.15
26/03/2026,Italy,Northern Ireland,2,0,1.26,6.25,16,1.24,5.73,13.39,19,8,8,1,11,8,12,3,1,0,0,0,1.59,0.51
26/03/2026,Poland,Albania,2,1,1.64,3.75,7,1.6,3.64,6.23,15,8,4,2,20,12,6,2,2,3,0,0,0.89,1.11
26/03/2026,Slovakia,Kosovo,3,4,2.45,3.1,3.4,2.37,3.01,3.24,21,9,8,5,14,16,7,3,2,3,0,0,1.75,1.13
26/03/2026,Turkey,Romania,1,0,1.48,5,7.5,1.43,4.74,6.61,16,6,2,0,7,12,9,3,2,1,0,0,1.4,0.47
